№ пп;Наименование  ;Группа товаров;Ед. изм. ;Количество; Цена за ед.изм., руб. РФ без учета НДС;Местонахождение;Сссылка на сайт размещения;Группа
507;Рукав МБС 14мм;РТИ, РВД, АТИ;м;5;65,35;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
508;Рукав РВД 7523-8609380-01;РТИ, РВД, АТИ;шт;2;961,6;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
509;Рычаг левый 7523-3001031;Запасные части к автомобилям/спецтехнике;шт;1;2 118,33;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
510;Сальник 4085479;Запасные части к автомобилям;шт;24;872,63;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
511;Сухарь колодки 375-3507064;Запасные части к автомобилям/спецтехнике;шт;4;477,92;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
512;Трубопровод 8401-1118208;Запасные части общепромышленного назначения;шт;1;1 922,67;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
513;Указатель давления Эи8059-2;Приборы КИП и комплектующие;шт;2;1 340,00;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
514;Фонарь габарит. перед ПФ-116;Запасные части к автомобилям;шт;4;92,43;"г. Таштагол, Минеральные ресурсы ООО ""Запсибруда""";;Реализация ТМЦ
515;КонсольPanasonic KX-590_МБ5047;Приборы бытовые;шт.;1;4 943,89;"г.Новокузнецк, ООО ""Технический проезд""";;Реализация ТМЦ
516;Радиотелефон Panasonic KX-PRL260RUB_БУ;Приборы бытовые;шт.;1;5 545,93;"г.Новокузнецк, ООО ""Технический проезд""";;Реализация ТМЦ
517;Телефон Panasonic KX-ЗКД 260 RUB_БУ;Приборы КИП и комплектующие;шт.;1;4 900,00;"г.Новокузнецк, ООО ""Технический проезд""";;Реализация ТМЦ
518;Болт М20х260 кп 5.8;Метизы;тн;0,268;55 337,69;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
519;Гайка М20 кп 6 ГОСТ 5915-70;Метизы;тн;0,08;37 384,65;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
520;Гайка М20 кп6;Метизы;тн;0,042;37 127,56;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
521;Гайка М20*2,5 кп 8;Метизы;кг;9;66,29;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
522;Каболка  универсальная 10-14мм с пропиткой Е-1 ТУ-17 40-4266-91;РТИ, РВД, АТИ;кг;160;78,56;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
523;Кран шаровый LD КШЦФ Gas 080/070.016.Н/П.020 из стали 20 Ду80/70 Ру1,6МПа;Запорная арматура (задвижки, клапаны);шт;7;1 350,33;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
524;Подвес с зажимом 60/27;Запасные части общепромышленного назначения;шт;90;6,18;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
525;Скоба К1157 УТ1,5;Запасные части общепромышленного назначения;шт;448;6;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
526;Труба ПЭ100 SDR 17-225 ПИТ;Стройматериалы;п.м.;93;420,41;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
527;Фильтр газа ФГ16-50В-ДПД;Запасные части к автомобилям/спецтехнике;шт;2;8 760,00;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
528;Фильтр газа ФГ16-80В-ДПД;Запасные части к автомобилям/спецтехнике;шт;1;11 960,00;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
529;Фланец Ду225 Ру10;Запорная арматура (задвижки, клапаны);шт;1;710,7;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
530;Фланец стальной плоский LD 100*16 ст.20 ГОСТ 12820-80;Запорная арматура (задвижки, клапаны);шт;2;173,33;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
531;Фланец Ду250 Ру16;Запорная арматура (задвижки, клапаны);шт;2;755,34;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
532;Круг 8мм оцинкованный;Заготовка металлическая;тн;0,42;32 643,46;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
533;Планка прижимная. Марка А3, черт. 053-1-АС,6;Нестандартное оборудование по чертежам;шт;32;390,91;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
534;Трансформатор;Высоковольтное оборудование, высоковольтные опоры;шт.;2;договорная;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/transformator_tm_2852094869;Реализация ТМЦ
535;Трансформатор ТМЗ-1000 квт;Высоковольтное оборудование, высоковольтные опоры;шт.;1;договорная;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/transformator_tm_2852094869;Реализация ТМЦ
536;Трансформатор ТМЗ-1000/10-65 (6/0,4 кВ);Высоковольтное оборудование, высоковольтные опоры;шт.;1;договорная;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/transformator_tm_2852094869;Реализация ТМЦ
537;Трансформатор ТМ-1000;Высоковольтное оборудование, высоковольтные опоры;шт.;1;договорная;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/transformator_tm_2852094869;Реализация ТМЦ
538;Дымосос ДПЭ-7;Оборудование;компл.;1;17 004,17;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
539;Добор телескопический;Строительные материалы;шт.;6;333,39;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
540;Кабель ВБШвнг(А)-LS 5*150мс(N,PE)-1кВ ТУ 16.К71-310-2001 (ГОСТ 31996-2012);Кабель, провод;км;0,115;договорная;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
541;Кабель силовой АВБШвнг(А) 4*240;Кабель, провод;м;98;договорная;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
542;Керамзит Knauf 40л;Строительные материалы;шт.;4;221,83;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
543;Ключ К1156 гальванопокрытие для крепления кабельных полок;Электротехнические материалы;шт.;5;48,07;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
544;Кольцо резиновое уплотнительное для двустенных труб 160мм;Инженерная сантехника;шт.;950;41,3;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
545;Крышка лотка 200мм с заземлением;Электротехнические материалы;м;6;229,32;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
546;Крышка лотка 500мм с заземлением;Электротехнические материалы;м;12;589,69;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
547;Лоток неперфорированный 200*80 мм;Электротехнические материалы;м;6;467,11;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
548;Лоток неперфорированный 500*100мм;Электротехнические материалы;м;12;1 127,19;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
549;Муфта для двустенных труб 160мм;Инженерная сантехника;шт.;462;244,31;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
550;Подвес с зажимом 60/27;Строительные материалы;шт.;90;6,18;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
551;Рукав напорный РН-200 (10 м с муфтой и соед. кольцом);Запчасти;шт.;3;3 777,43;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
552;Соединитель одноуровневый для ПП-профиля 60*27 (краб);Строительные материалы;шт.;82;13,29;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
553;Суппорт М45 (2 поста, 4-5 мод), Legrand Batibox 80252;Расходные материалы на вычисл. и орг техник;шт.;249;61,65;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
554;Тяга для анкерного подвеса 1000мм;Строительные материалы;шт.;90;13,44;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
555;Шпилька анкерная HIT-V-5.8 M12*150;Метизы и крепеж;шт.;50;34,37;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
556;Шпилька М30*1000;Метизы и крепеж;кг;102;50,67;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
557;Кабель АВВГнг(А)-LS 3*240;Кабель, провод;м;114;1 146,65;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
558;Кабель АВВГнг(А)-LS 3*240;Кабель, провод;м;109;1 146,65;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
559;Кабель АВВГнг(А)-LS 3*240;Кабель, провод;м;25;1 146,65;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
560;Кабель АВВГнг(А)-LS 4*120;Кабель, провод;м;14;714,24;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
561;Кабель силовой АВВГ 3х185;Кабель, провод;м;45;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
562;Кабель силовой АВВГ 3х185;Кабель, провод;м;106;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
563;Кабель силовой АВВГ 3х185;Кабель, провод;м;103;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
564;Кабель силовой АВВГ 3х185;Кабель, провод;м;76;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
565;Кабель силовой АВВГ 3х185;Кабель, провод;м;70;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
566;Кабель силовой АВВГ 3х185;Кабель, провод;м;16;1 222,81;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
567;Комплект прямых участков КПУ-200/Т2;Основные средства;шт;1;35 142,29;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
568;Фильтр газа Ду200 ФГ-200;Прочие материалы;шт;1;34 331,32;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
569;Лоток листовой неперфорированный 100*400 L3000 сталь 1,5мм;Электротехнические материалы;шт;4;7 527,02;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
570;Лоток лестничный 500*100 L3000 сталь 1,2мм;Электротехнические материалы;шт;12;2 114,18;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
571;Крышка для лотка осн.400 L3000 (дл.3м);Электротехнические материалы;шт;4;1 893,25;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
572;Стойка кабельная К-1152 цУТ1,5;Электротехнические материалы;шт;57;305,95;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/lotok_neperforirovannyylestnichnyy_dlya_kabelya_3940355076;Реализация ТМЦ
573;Кран шаровой 11б27п1 Ду32 ВВ;Инженерная сантехника;шт;10;385;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
574;"Кронштейн Kromax OPTIMA-413 для ТВ/монитора 20""-55"", до 30кг";Расходные материалы на вычисл. и орг техник;шт;3;1 297,14;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
575;Кран шаровой 11Б27п1 Ду25 ВВ Ру16;Инженерная сантехника;шт;10;207,67;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
576;Светильник WT068C NW LED18 L600 CFW PSU;Лампы, люстры, светильники;шт;2;910,19;"г.Новокузнецк, ООО ""Технокластер""";https://www.avito.ru/novokuznetsk/mebel_i_interer/svetilnik_prozhektor_3907765293;Реализация ТМЦ
577;Кран шар. латунный ДУ15 РУ40 BH-HP бабочка;Инженерная сантехника;шт;10;134,56;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
578;Труба гофрированная ПВХ 20мм с протяжкой;Инженерная сантехника;м;50;8,66;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
579;Скоба металлическая двухлапковая d31-32мм;Электротехнические материалы;шт;92;6,76;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
580;Ключ К1156цУТ1,5;Электротехнические материалы;шт;5;37,16;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
581;Система осушения воздуха;Основные средства;шт;1;145 900,67;"г.Новокузнецк, ООО ""Технокластер""";;Реализация ТМЦ
582;Труба мпт32*3;Металлопрокат;м.п.;2590;25;"г.Новокузнецк, ООО ""Техноцентр""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/truba_mp_32h3_3908165077;Реализация ТМЦ
583;Рукав п/э 450 мм;оконная фурнитура;пог.м;8000;0,89;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
584;Рукав п/э 250 мм;оконная фурнитура;пог.м;472;0,92;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
585;Соединитель импоста;оконная фурнитура;м;1296;9,84;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
586;Подкладка;оконная фурнитура;шт;18039;0,15;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
587;Центральная поперечина;оконная фурнитура;м;99;13,27;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
588;Крепление (верх-низ);оконная фурнитура;шт;50;1,05;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
589;Соединитель центральной поперечины мет;оконная фурнитура;шт;64;0,73;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
590;Угловой соединитель;оконная фурнитура;шт;22;1,55;"г.Новокузнецк, ООО ""Техноцентр""";;Реализация ТМЦ
591;Изложница для печи РНК-5;Технология;шт.;60;договорная;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
592;Щит ЩУВ-3-1-380-7,5-0-2-12-IP54 (ММ027619ВА);Электротехнические материалы;шт;1;37 188,09;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
593;Блок сменный ЕТ-В-09-00-А ЕВРАЗТЕМП;Прочие материалы;шт;400;73,54;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
594;Траверса ТЛц 3,2/1000;Запчасти;шт;2;13 846,77;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
595;Фильтр газа ФГ16-80В-ДПД;Фильтры;шт;1;11 960,00;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
596;Фланец ст. плоский LD 80*16 ст.20 ГОСТ 12820-80;Инженерная сантехника;шт;6;677,76;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
597;Коммутатор WI-PS306GF-UPS, неуправляемый гигабитный;Расходные материалы на вычисл. и орг техник;шт;1;13 417,25;"г.Новокузнецк, ООО ""Экомет""";https://www.avito.ru/novokuznetsk/tovary_dlya_kompyutera/kommutator_wi-ps306gf-ups_solnechnaya_batareya_3940265012;Реализация ТМЦ
598;Батарея солнечная SM 100-12 P;Расходные материалы на вычисл. и орг техник;шт;2;5 213,33;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
599;"Клапан A-OWF-DE-N01.080.DXO.A тормозной двусторонний (G3/8""(VBCD)  настройка пружины 60:350BAR, 8:1)";Запчасти;шт;1;6 127,64;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
600;Резец проходной отогнутый 25*16*140 (Т5К10);Слесарно-монтажный инструмент;шт;25;255,47;"г.Новокузнецк, ООО ""Экомет""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/tokarnye_reztsy_3908178707;Реализация ТМЦ
601;Резец отрезной 25*16*140 (Т5К10);Слесарно-монтажный инструмент;шт;25;172,83;"г.Новокузнецк, ООО ""Экомет""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/tokarnye_reztsy_3908178707;Реализация ТМЦ
602;Гайка 32/16 G 3/4 для БКО, латунь;Запчасти;шт;8;177,79;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
603;Резец проходной упорный изогнутый 25*16*140 (Т5К10);Слесарно-монтажный инструмент;шт;5;234,46;"г.Новокузнецк, ООО ""Экомет""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/tokarnye_reztsy_3908178707;Реализация ТМЦ
604;Гайка 27 СП-21,8 для БПО, латунь;Запчасти;шт;8;146,86;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
605;Отвод ст.90-89*3,5 ГОСТ 17375-2001;Инженерная сантехника;шт;4;365,5;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
606;Тройник сталь привар проход 33,7*4,5 ГОСТ 17376-01;Инженерная сантехника;шт;1;520,92;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
607;Гайка М16*1,5 левая;Метизы и крепеж;шт;8;197,27;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
608;Шланг T-Clip Gas HT-400, d125мм, 6 метров, устойчивый к высоким температурам, с зажимной спиралью;Запчасти;шт;1;10 093,79;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
609;Хомут 110-130 червячный;Запчасти;шт;22;55,02;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
610;Проволока вязальная 3,0 ГОСТ 3282-74;Метизы и крепеж;кг;1335;94,05;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
611;Электрод контроля пламени КЭ L=700мм;Измерительные приборы и устройства;шт;49;1 973,77;"г.Новокузнецк, ООО ""Экомет""";;Реализация ТМЦ
612;Резец проходной упорный отогнутый 25*16*140 Т5К10;Слесарно-монтажный инструмент;шт;5;223,02;"г.Новокузнецк, ООО ""Экомет""";https://www.avito.ru/novokuznetsk/remont_i_stroitelstvo/tokarnye_reztsy_3908178707;Реализация ТМЦ
613;"Монитор 22"" TFT Samsung S22B300BL мб-948";Оргтехника;шт.;6;5 902,83;"г.Новокузнецк, АНОО ""Интеллект Академия""";;Реализация ТМЦ
614;Системный блок Core i5 2.8/500Gb/DDR III 4Gb/Intel MB/W7 Pro  мб-968;Оргтехника;шт.;2;10 200,00;"г.Новокузнецк, АНОО ""Интеллект Академия""";;Реализация ТМЦ
