IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP25;IP_PROP31;IP_PROP27;IP_PROP30;IP_PROP85;IP_PROP84;IP_PROP26;IP_PROP29;IP_PROP32;IP_PROP28;IP_PROP83;IP_PROP48;IP_PROP24;IC_GROUP0;IC_GROUP1;IC_GROUP2
538;SHAАNXI CWR3315SXDR406 (грузовой самосвал);538;Y;;;/upload/iblock/e58/4yhcytbyxvk7gynx717cb40j894nqlhs.jpeg;;text;/upload/iblock/e58/4yhcytbyxvk7gynx717cb40j894nqlhs.jpeg;;text;;500;;SV7PMAuu;;336 л.с., дизель;;;;1;Приморский край, г. Находка, ул. Шоссейная, 134;;;;;Спецтехника;Реализация транспорта и оборудования;;
540;SHAАNXI SX3314DR366 (грузовой самосвал);540;Y;;;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;;500;;HZfzLnjP;;375 л.с, дизель;/upload/iblock/93b/slh4do0e8krzt4qieysmtint3vnkri9x.jpg;;;1;Хабаровский край, г. Хабаровск, ул. Узловая, 25;;;;;Спецтехника;Реализация транспорта и оборудования;;
540;SHAАNXI SX3314DR366 (грузовой самосвал);540;Y;;;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;;500;;HZfzLnjP;;375 л.с, дизель;/upload/iblock/0c8/g5s0a7iwciw3tro0lcnm94cv9jz1f6y1.jpg;;;1;Хабаровский край, г. Хабаровск, ул. Узловая, 25;;;;;Спецтехника;Реализация транспорта и оборудования;;
540;SHAАNXI SX3314DR366 (грузовой самосвал);540;Y;;;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;/upload/iblock/0aa/drmx0976btmy63xo6urr7n2xa2woyryg.jpg;;text;;500;;HZfzLnjP;;375 л.с, дизель;/upload/iblock/57f/hqsctpjc2oxlqsr429lejjaxd8u0f4i0.jpg;;;1;Хабаровский край, г. Хабаровск, ул. Узловая, 25;;;;;Спецтехника;Реализация транспорта и оборудования;;
541;MITSUBISHI CANTER (грузовой бортовой);541;Y;;;/upload/iblock/7a1/s9zadoo06jxb4myipe95vilwmeho0c4n.jpeg;;text;/upload/iblock/7a1/s9zadoo06jxb4myipe95vilwmeho0c4n.jpeg;;text;;500;;6;;110л.с, дизель;/upload/iblock/c22/m213rvqhkq5r10h12i4cw4v94wed80e8.jpeg;;;2;Хабаровский край, г. Хабаровск, ул. Узловая 25;;;;;Грузовой автомобиль;Реализация транспорта и оборудования;;
541;MITSUBISHI CANTER (грузовой бортовой);541;Y;;;/upload/iblock/7a1/s9zadoo06jxb4myipe95vilwmeho0c4n.jpeg;;text;/upload/iblock/7a1/s9zadoo06jxb4myipe95vilwmeho0c4n.jpeg;;text;;500;;6;;110л.с, дизель;/upload/iblock/808/4o7u8mlcw3lsbg1pswqz8tp69kwnnh0h.jpeg;;;2;Хабаровский край, г. Хабаровск, ул. Узловая 25;;;;;Грузовой автомобиль;Реализация транспорта и оборудования;;
542;Гусеничный экскаватор ЭО-5126;542;Y;;;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;;500;;HZfzLnjP;;125 кВТ/170 л.с.;/upload/iblock/02d/qez4pdt5x39lsgz52au3mxms4bhdbmvz.jpg;;;3;пгт. Шерегеш, карьер Таензинский;;;;;Спецтехника;Реализация транспорта и оборудования;;
542;Гусеничный экскаватор ЭО-5126;542;Y;;;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;;500;;HZfzLnjP;;125 кВТ/170 л.с.;/upload/iblock/a44/1gsf8whwoqug8ekc8c9b0rp078v9efa3.jpg;;;3;пгт. Шерегеш, карьер Таензинский;;;;;Спецтехника;Реализация транспорта и оборудования;;
542;Гусеничный экскаватор ЭО-5126;542;Y;;;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;;500;;HZfzLnjP;;125 кВТ/170 л.с.;/upload/iblock/b3d/ytetmzj1lazqbtmrtyvwzxu3ps41d85t.jpg;;;3;пгт. Шерегеш, карьер Таензинский;;;;;Спецтехника;Реализация транспорта и оборудования;;
542;Гусеничный экскаватор ЭО-5126;542;Y;;;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;/upload/iblock/9b2/1ldqqhciaaapj1yci2rsc24fbhuv4yld.jpg;;text;;500;;HZfzLnjP;;125 кВТ/170 л.с.;/upload/iblock/f79/f65oojcvc1cc6vxfnhxsinxsp1jabwe7.jpg;;;3;пгт. Шерегеш, карьер Таензинский;;;;;Спецтехника;Реализация транспорта и оборудования;;
